fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005
CSPRNG_Python_secrets,bruta,1,10000,5066,4934,0.5066,0.4934,0.006599999999999995,0.4836054495104036,0.5031996192680892,0.9998743087578157,0.9810810178369482,-0.0014773167711447355,5007,0.8906712982214755,True
CSPRNG_Python_secrets,bruta,2,10000,5010,4990,0.501,0.499,0.0010000000000000009,0.48920246540214657,0.5087983025945947,0.9999971146079947,0.9971174914668787,0.006096643715318184,4970,0.5354991297644057,True
CSPRNG_Python_secrets,bruta,3,10000,4967,5033,0.4967,0.5033,0.0032999999999999696,0.4935010079402525,0.513096457670501,0.9999685778738825,0.9905094970525475,-0.016345901207712323,5082,0.10426743383280254,True
CSPRNG_Python_secrets,bruta,4,10000,5005,4995,0.5005,0.4995,0.0005000000000000004,0.48970225871167916,0.5092981252866914,0.9999992786523593,0.9985580258260937,-0.02270328335995579,5114,0.023807892654381577,False
CSPRNG_Python_secrets,bruta,5,10000,4924,5076,0.4924,0.5076,0.007600000000000051,0.4978002749163087,0.5173938883084571,0.9998333334507572,0.9782360257083433,0.011472745212149218,4942,0.2471819795676552,True
CSPRNG_Python_secrets,bruta,6,10000,5004,4996,0.5004,0.4996,0.00040000000000001146,0.4898022185488898,0.5093980886498067,0.9999995383375377,0.9988463053836297,-0.0021010218851944622,5011,0.8414226032068886,True
CSPRNG_Python_secrets,bruta,7,10000,4954,5046,0.4954,0.5046,0.0046000000000000485,0.4948007099211868,0.5143957572938029,0.9999389442845599,0.9867878885731488,0.0016156598814314697,4992,0.8637841636870001,True
CSPRNG_Python_secrets,bruta,8,10000,5004,4996,0.5004,0.4996,0.00040000000000001146,0.4898022185488898,0.5093980886498067,0.9999995383375377,0.9988463053836297,-0.0029011025413902486,5015,0.7794175210913108,True
CSPRNG_Python_secrets,bruta,9,10000,5033,4967,0.5033,0.4967,0.003300000000000025,0.4869035423294989,0.5064989920597475,0.9999685778738825,0.9905094970525475,-0.006943241930925528,5035,0.49370996502344755,True
CSPRNG_Python_secrets,bruta,10,10000,4866,5134,0.4866,0.5134,0.013399999999999967,0.503600434153196,0.5231892746904697,0.99948183731899,0.9618447989740312,0.010795815283856213,4943,0.2761482989188084,True
CSPRNG_Python_secrets,bruta,11,10000,4891,5109,0.4891,0.5109,0.01090000000000002,0.5011002038016813,0.520691425033838,0.9996571596461306,0.9688871591497508,0.007629111481309328,4960,0.43959223510213496,True
CSPRNG_Python_secrets,bruta,12,10000,4977,5023,0.4977,0.5023,0.0022999999999999687,0.49250128224208,0.5120969513654148,0.9999847362326368,0.99337881987762,-0.0033224978603247565,5017,0.7473474502508053,True
CSPRNG_Python_secrets,bruta,13,10000,4926,5074,0.4926,0.5074,0.007399999999999962,0.49760029294431707,0.5171940238797967,0.9998419902704185,0.9788045754855103,-0.0119198796235137,5059,0.23711759163252366,True
CSPRNG_Python_secrets,bruta,14,10000,5055,4945,0.5055,0.4945,0.005500000000000005,0.48470476637199766,0.5042994576100797,0.9999127151897329,0.9842170027590725,-0.03242816944246952,5162,0.001226465154485349,False
CSPRNG_Python_secrets,bruta,15,10000,4889,5111,0.4889,0.5111,0.011099999999999999,0.501300213211613,0.5208912620245579,0.999644461880764,0.9683225035492398,0.008812345545574814,4954,0.37282198824553475,True
CSPRNG_Python_secrets,bruta,16,10000,5024,4976,0.5024,0.4976,0.0024000000000000132,0.4878030962410491,0.50739874695113,0.9999833800893081,0.9930916306578225,0.004877567892744996,4976,0.6186726978236305,True
CSPRNG_Python_secrets,bruta,17,10000,5025,4975,0.5025,0.4975,0.0025000000000000022,0.48770314423929373,0.5072987757525595,0.9999819662368479,0.9928044985957962,-0.014125764171174483,5071,0.16073459856331024,True
CSPRNG_Python_secrets,bruta,18,10000,5004,4996,0.5004,0.4996,0.00040000000000001146,0.4898022185488898,0.5093980886498067,0.9999995383375377,0.9988463053836297,0.00750026365285696,4963,0.4472698335631257,True
CSPRNG_Python_secrets,bruta,19,10000,4963,5037,0.4963,0.5037,0.0037000000000000366,0.4939009091896364,0.5134962492224208,0.9999604986492603,0.989363363891263,-0.0037568426533613783,5019,0.7147275383673689,True
CSPRNG_Python_secrets,bruta,20,10000,5036,4964,0.5036,0.4964,0.003599999999999992,0.48660369807786463,0.5061990667104042,0.9999626050214436,0.9896498118304328,0.021651452701870865,4892,0.029627304474543717,False
CSPRNG_Python_secrets,bruta,21,10000,4923,5077,0.4923,0.5077,0.00770000000000004,0.4979002664901568,0.5174938199349348,0.999828918459394,0.9779518348198268,-0.005542159880465949,5027,0.5865294286442696,True
CSPRNG_Python_secrets,bruta,22,10000,4953,5047,0.4953,0.5047,0.0047000000000000375,0.49490068973930446,0.5144957006760114,0.9999362607944081,0.9865020082510227,0.005612698477742744,4972,0.5678349045203636,True
CSPRNG_Python_secrets,bruta,23,10000,4909,5091,0.4909,0.5091,0.009099999999999997,0.4993001896759241,0.5188928215537297,0.9997610476545458,0.9739790292856298,0.01116993457460547,4943,0.2596132110929391,True
CSPRNG_Python_secrets,bruta,24,10000,4948,5052,0.4948,0.5052,0.005199999999999982,0.4954005947072216,0.5149954117097233,0.9999219776456703,0.9850734557618972,-0.013813165396432639,5069,0.1703647132120848,True
CSPRNG_Python_secrets,bruta,25,10000,5062,4938,0.5062,0.4938,0.006199999999999983,0.48400519561047334,0.5035995659693229,0.9998890827627154,0.9822205874387653,-0.008455911363229847,5042,0.40341021063228255,True
CSPRNG_Python_secrets,bruta,26,10000,5004,4996,0.5004,0.4996,0.00040000000000001146,0.4898022185488898,0.5093980886498067,0.9999995383375377,0.9988463053836297,0.007700144957084246,4962,0.43540529457231536,True
CSPRNG_Python_secrets,bruta,27,10000,5003,4997,0.5003,0.4997,0.00030000000000002247,0.48990217877786774,0.5094980516211546,0.9999997403148772,0.9991346425567468,0.010700822732743979,4947,0.2801339881701272,True
CSPRNG_Python_secrets,bruta,28,10000,5091,4909,0.5091,0.4909,0.009099999999999997,0.4811071784462703,0.500699810324076,0.9997610476545458,0.9739790292856298,-0.012432959629500475,5061,0.21735410925613088,True
CSPRNG_Python_secrets,bruta,29,10000,5018,4982,0.5018,0.4982,0.0018000000000000238,0.4884028164789366,0.5079985659151977,0.9999906513159418,0.9948156241402767,0.0026880505118406705,4987,0.7804585229469019,True
CSPRNG_Python_secrets,bruta,30,10000,4994,5006,0.4994,0.5006,0.0006000000000000449,0.49080183846819153,0.5103977007337638,0.9999989612593212,0.9982698038611174,0.0012987016104524737,4994,0.8887680811765097,True
