fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005
PRNG_Mersenne_Twister_seed_7,bruta,1,10000,5041,4959,0.5041,0.4959,0.0040999999999999925,0.4861039654944479,0.5056991832921915,0.9999514960491491,0.9882181405400853,-0.001365842767839229,5007,0.8991470879252762,True
PRNG_Mersenne_Twister_seed_7,bruta,2,10000,5020,4980,0.502,0.498,0.0020000000000000018,0.48820290816586576,0.5077986278276169,0.9999884584088952,0.994240730711315,0.009084249465284256,4955,0.35837776407452215,True
PRNG_Mersenne_Twister_seed_7,bruta,3,10000,5074,4926,0.5074,0.4926,0.007400000000000018,0.48280597612020315,0.5023997070556827,0.9998419902704185,0.9788045754855103,0.00748333581707355,4962,0.4482713916785308,True
PRNG_Mersenne_Twister_seed_7,bruta,4,10000,4923,5077,0.4923,0.5077,0.00770000000000004,0.4979002664901568,0.5174938199349348,0.999828918459394,0.9779518348198268,0.013467367394393902,4932,0.17488494222906617,True
PRNG_Mersenne_Twister_seed_7,bruta,5,10000,4954,5046,0.4954,0.5046,0.0046000000000000485,0.4948007099211868,0.5143957572938029,0.9999389442845599,0.9867878885731488,0.013217802315273466,4934,0.18295375438260453,True
PRNG_Mersenne_Twister_seed_7,bruta,6,10000,5034,4966,0.5034,0.4966,0.003400000000000014,0.4868035938538261,0.5063990173350944,0.9999666446335932,0.9902228783884701,0.00045383175153082956,4998,0.955834669211738,True
PRNG_Mersenne_Twister_seed_7,bruta,7,10000,5023,4977,0.5023,0.4977,0.0023000000000000242,0.4879030486345851,0.5074987177579199,0.9999847362326368,0.99337881987762,-0.0179233239223262,5090,0.0747096399160959,True
PRNG_Mersenne_Twister_seed_7,bruta,8,10000,4946,5054,0.4946,0.5054,0.00539999999999996,0.495600559437186,0.5151952933804107,0.9999158603894969,0.9845024306046745,-0.0006189573235946397,5003,0.9587895610532557,True
PRNG_Mersenne_Twister_seed_7,bruta,9,10000,5002,4998,0.5002,0.4998,0.00019999999999997797,0.490002139398613,0.5095980142007352,0.9999998845843936,0.9994230373684795,-0.017701861788506867,5089,0.0783901242139238,True
PRNG_Mersenne_Twister_seed_7,bruta,10,10000,5017,4983,0.5017,0.4983,0.0016999999999999793,0.4885027712231345,0.5080985343713257,0.9999916612065975,0.9951031567851525,0.02829092446580875,4859,0.004525249219558941,False
PRNG_Mersenne_Twister_seed_7,bruta,11,10000,4980,5020,0.498,0.502,0.0020000000000000018,0.49220137217238313,0.5117970918341342,0.9999884584088952,0.994240730711315,-0.006517573009828549,5033,0.5211054269026204,True
PRNG_Mersenne_Twister_seed_7,bruta,12,10000,5005,4995,0.5005,0.4995,0.0005000000000000004,0.48970225871167916,0.5092981252866914,0.9999992786523593,0.9985580258260937,-0.009701788119054198,5049,0.3369802435444117,True
PRNG_Mersenne_Twister_seed_7,bruta,13,10000,4978,5022,0.4978,0.5022,0.0021999999999999797,0.49240131182706964,0.5119969985800993,0.9999860346669425,0.9936660662779495,0.0032810397288760462,4984,0.7352972860884452,True
PRNG_Mersenne_Twister_seed_7,bruta,14,10000,5075,4925,0.5075,0.4925,0.007500000000000007,0.48270604370992337,0.5022997162656366,0.9998376907209825,0.9785202725895487,0.01487684729064053,4925,0.13415612797509915,True
PRNG_Mersenne_Twister_seed_7,bruta,15,10000,4908,5092,0.4908,0.5092,0.009199999999999986,0.4994001871287721,0.5189927473012075,0.9997557668011241,0.9736956756480915,0.0033628911186637184,4982,0.7291333812056395,True
PRNG_Mersenne_Twister_seed_7,bruta,16,10000,4988,5012,0.4988,0.5012,0.0011999999999999789,0.4914016292246268,0.5109974491792835,0.9999958450342934,0.9965416802275889,0.007295021023526475,4964,0.4596245409995159,True
PRNG_Mersenne_Twister_seed_7,bruta,17,10000,4965,5035,0.4965,0.5035,0.0034999999999999476,0.49370095778135265,0.5132963542300524,0.9999646536828334,0.9899363166553026,0.0008511319318519061,4996,0.9242279185721093,True
PRNG_Mersenne_Twister_seed_7,bruta,18,10000,5010,4990,0.501,0.499,0.0010000000000000009,0.48920246540214657,0.5087983025945947,0.9999971146079947,0.9971174914668787,0.0028963108474129246,4986,0.7644699400933397,True
PRNG_Mersenne_Twister_seed_7,bruta,19,10000,5055,4945,0.5055,0.4945,0.005500000000000005,0.48470476637199766,0.5042994576100797,0.9999127151897329,0.9842170027590725,-0.0026193950631459933,5013,0.8009304417904898,True
PRNG_Mersenne_Twister_seed_7,bruta,20,10000,5007,4993,0.5007,0.4993,0.0006999999999999784,0.48950234021256117,0.5090981973851576,0.999998586158398,0.9979816394656944,-0.009102878417325455,5046,0.36799106321515895,True
PRNG_Mersenne_Twister_seed_7,bruta,21,10000,5051,4949,0.5051,0.4949,0.005099999999999993,0.48510452971336737,0.5046993870700134,0.9999249497025691,0.9853590531182468,0.00019801980198016472,4999,0.9763856186876756,True
PRNG_Mersenne_Twister_seed_7,bruta,22,10000,5088,4912,0.5088,0.4912,0.008799999999999975,0.4814069580404569,0.5009998003308669,0.9997765438549373,0.9748294242650939,0.010594560683319591,4946,0.2848855245843325,True
PRNG_Mersenne_Twister_seed_7,bruta,23,10000,4981,5019,0.4981,0.5019,0.0019000000000000128,0.4921014029327049,0.5116971378734865,0.9999895837167362,0.9945281487899406,-0.013715250674764135,5069,0.17334570804274438,True
PRNG_Mersenne_Twister_seed_7,bruta,24,10000,5030,4970,0.503,0.497,0.0030000000000000027,0.4872033901072671,0.5067989138829568,0.9999740313334506,0.9913696948565599,-0.001936256956643161,5010,0.8543148731936578,True
PRNG_Mersenne_Twister_seed_7,bruta,25,10000,4942,5058,0.4942,0.5058,0.005800000000000027,0.4960004935991624,0.5155950520197379,0.9999029333006981,0.9833610578862109,-0.017238607348520986,5086,0.08657054961039597,True
PRNG_Mersenne_Twister_seed_7,bruta,26,10000,5042,4958,0.5042,0.4958,0.0041999999999999815,0.48600402015317673,0.5055992054331369,0.9999491011203768,0.9879319766909097,-0.013374561090511298,5067,0.18443723382111954,True
PRNG_Mersenne_Twister_seed_7,bruta,27,10000,4974,5026,0.4974,0.5026,0.0026000000000000467,0.49280119583779264,0.51239680737068,0.9999804946751426,0.9925174236687938,0.010074247257102752,4950,0.308975362071784,True
PRNG_Mersenne_Twister_seed_7,bruta,28,10000,5089,4911,0.5089,0.4911,0.008900000000000019,0.48130703111710677,0.5008998040538912,0.9997714361810366,0.9745459035722509,0.006185717026027029,4968,0.5296459361150665,True
PRNG_Mersenne_Twister_seed_7,bruta,29,10000,4918,5082,0.4918,0.5082,0.008199999999999985,0.4984002302380669,0.517993472188654,0.9998059776729812,0.9765317194960946,0.00522966965919969,4973,0.5938438512049448,True
PRNG_Mersenne_Twister_seed_7,bruta,30,10000,4987,5013,0.4987,0.5013,0.0012999999999999678,0.49150159572189295,0.5110974058823432,0.9999951236852679,0.9962538607671053,0.005094290646502921,4975,0.603514264233343,True
