fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005,seed_simulator
Qiskit_AerSimulator_ideal,bruta,1,10000,5060,4940,0.506,0.494,0.006000000000000005,0.48420507101166443,0.5037995369687835,0.9998961234639354,0.982790709967777,0.00035608249237836103,4998,0.9636220162465974,True,1001
Qiskit_AerSimulator_ideal,bruta,2,10000,4942,5058,0.4942,0.5058,0.005800000000000027,0.4960004935991624,0.5155950520197379,0.9999029333006981,0.9833610578862109,0.005966836264756735,4970,0.5440792464254283,True,1002
Qiskit_AerSimulator_ideal,bruta,3,10000,4996,5004,0.4996,0.5004,0.00039999999999995595,0.49060191135019326,0.5101977814511102,0.9999995383375377,0.9988463053836297,-0.006101103149159262,5031,0.5484433294414206,True,1003
Qiskit_AerSimulator_ideal,bruta,4,10000,5072,4928,0.5072,0.4928,0.007199999999999984,0.4830058421164465,0.5025996874600912,0.9998504162082946,0.9793733494100422,-0.00891010962229278,5044,0.3783379877658805,True,1004
Qiskit_AerSimulator_ideal,bruta,5,10000,4976,5024,0.4976,0.5024,0.0023999999999999577,0.49260125304886987,0.5121969037589508,0.9999833800893081,0.9930916306578225,0.0030763691066798297,4985,0.7506979393143466,True,1005
Qiskit_AerSimulator_ideal,bruta,6,10000,5047,4953,0.5047,0.4953,0.004699999999999982,0.4855042993239887,0.5050993102606957,0.9999362607944081,0.9865020082510227,-0.001588658105454278,5008,0.8816667898223228,True,1006
Qiskit_AerSimulator_ideal,bruta,7,10000,4923,5077,0.4923,0.5077,0.00770000000000004,0.4979002664901568,0.5174938199349348,0.999828918459394,0.9779518348198268,0.00706520862663661,4964,0.4736889880820249,True,1007
Qiskit_AerSimulator_ideal,bruta,8,10000,5027,4973,0.5027,0.4973,0.00269999999999998,0.4875032414111292,0.5070988321800723,0.9999789654040749,0.9922304058540823,-0.019131624203013637,5096,0.057031847458293684,True,1008
Qiskit_AerSimulator_ideal,bruta,9,10000,5052,4948,0.5052,0.4948,0.005199999999999982,0.48500458829027665,0.5045994052927784,0.9999219776456703,0.9850734557618972,-0.000610389367197381,5003,0.9594657353379906,True,1009
Qiskit_AerSimulator_ideal,bruta,10,10000,5010,4990,0.501,0.499,0.0010000000000000009,0.48920246540214657,0.5087983025945947,0.9999971146079947,0.9971174914668787,-0.004104035581644468,5021,0.6888459989195124,True,1010
Qiskit_AerSimulator_ideal,bruta,11,10000,4932,5068,0.4932,0.5068,0.006800000000000028,0.4970003564337318,0.5165944211884269,0.9998665754494069,0.9805115704086398,-0.011688299527829538,5058,0.24655064942807642,True,1011
Qiskit_AerSimulator_ideal,bruta,12,10000,4986,5014,0.4986,0.5014,0.0013999999999999568,0.4916015626109302,0.511197362193632,0.9999943446280501,0.9959660987155103,0.01829357238048413,4909,0.06586778046648836,True,1012
Qiskit_AerSimulator_ideal,bruta,13,10000,5001,4999,0.5001,0.4999,9.999999999998899e-05,0.4901021004111254,0.5096979763885487,0.999999971146099,0.9997114898418764,-0.010101020204040606,5051,0.31728435203883903,True,1013
Qiskit_AerSimulator_ideal,bruta,14,10000,4981,5019,0.4981,0.5019,0.0019000000000000128,0.4921014029327049,0.5116971378734865,0.9999895837167362,0.9945281487899406,-0.015516207295496848,5078,0.12318460142721435,True,1014
Qiskit_AerSimulator_ideal,bruta,15,10000,5025,4975,0.5025,0.4975,0.0025000000000000022,0.48770314423929373,0.5072987757525595,0.9999819662368479,0.9928044985957962,0.009475181390994271,4953,0.33827871215422944,True,1015
Qiskit_AerSimulator_ideal,bruta,16,10000,4966,5034,0.4966,0.5034,0.0033999999999999586,0.4936009826649055,0.5131964061461738,0.9999666446335932,0.9902228783884701,-0.0009477546640547745,5005,0.9325538421500786,True,1016
Qiskit_AerSimulator_ideal,bruta,17,10000,4917,5083,0.4917,0.5083,0.008299999999999974,0.49850022416340894,0.5180934014636378,0.9998012163472088,0.9762478641010051,-0.014581054166199868,5072,0.14760937412034966,True,1017
Qiskit_AerSimulator_ideal,bruta,18,10000,4996,5004,0.4996,0.5004,0.00039999999999995595,0.49060191135019326,0.5101977814511102,0.9999995383375377,0.9988463053836297,0.014500829446420251,4928,0.14428734099045684,True,1018
Qiskit_AerSimulator_ideal,bruta,19,10000,4939,5061,0.4939,0.5061,0.006099999999999994,0.4963004483350194,0.5158948668848583,0.9998926319715216,0.9825056205407275,0.013154428790978504,4934,0.18504529404673437,True,1019
Qiskit_AerSimulator_ideal,bruta,20,10000,5032,4968,0.5032,0.4968,0.0031999999999999806,0.48700349119696434,0.5065989663926078,0.9999704534038559,0.9907961726701603,-0.0007410585654726663,5004,0.9488891437327198,True,1020
Qiskit_AerSimulator_ideal,bruta,21,10000,5030,4970,0.503,0.497,0.0030000000000000027,0.4872033901072671,0.5067989138829568,0.9999740313334506,0.9913696948565599,-0.02113886877304575,5106,0.035397559980093085,False,1021
Qiskit_AerSimulator_ideal,bruta,22,10000,5071,4929,0.5071,0.4929,0.007099999999999995,0.4831057757024031,0.5026996770744604,0.999854542597409,0.9796578204828141,0.0030992847967583775,4984,0.7490316226619438,True,1022
Qiskit_AerSimulator_ideal,bruta,23,10000,4945,5055,0.4945,0.5055,0.005499999999999949,0.49570054238992023,0.5152952336280022,0.9999127151897329,0.9842170027590725,0.0017815679638670118,4991,0.8509298485433752,True,1023
Qiskit_AerSimulator_ideal,bruta,24,10000,5009,4991,0.5009,0.4991,0.0009000000000000119,0.489302423280516,0.5088982679165511,0.9999976628327717,0.9974054832915477,-0.004703715983236712,5024,0.6452660854771491,True,1024
Qiskit_AerSimulator_ideal,bruta,25,10000,4959,5041,0.4959,0.5041,0.0040999999999999925,0.49430081670780834,0.513896034505552,0.9999514960491491,0.9882181405400853,-0.003567833467820538,5018,0.7287681303523954,True,1025
Qiskit_AerSimulator_ideal,bruta,26,10000,5072,4928,0.5072,0.4928,0.007199999999999984,0.4830058421164465,0.5025996874600912,0.9998504162082946,0.9793733494100422,0.0038938261890524486,4980,0.6896229622016117,True,1026
